is_landslide,dem,slope,twi,landcover,soil_sand,soil_clay,soil_cfvo,rain_annual_norm,rain_monsoon_norm,snow_winter,snow_spring,rain_event_7d,rain_antecedent_30d,rain_max_daily,runoff_event_7d,runoff_antecedent_30d,runoff_max_daily
1,1894.0,21.309574,9.929123,10.0,28.0,25.0,13.0,1695.0062,1024.6729,0.5955958,0.9606929,440.72922,242.6430802,440.72922,0.375722452,0.12371691399999997,0.131738
1,2222.0,15.319989,11.424419,60.0,25.0,23.0,16.0,634.7458,321.56525,0.13844158,0.63212806,422.7048,73.07970399999999,310.8866,0.11832837239999999,0.0775416896,0.032790992
1,3585.0,26.708866,10.048414,100.0,37.0,18.0,26.0,525.01447,202.89168,0.052363742,0.03172781,283.98033,57.4041249,166.85718,0.0312920809,0.1029062699,0.034824237
1,1831.0,30.75644,9.893828,10.0,31.0,26.0,15.0,898.3455,258.434,0.4074517,0.91514516,218.79419000000001,56.4483481,134.42325,0.08501628556999999,0.025257318530000003,0.028671322
1,946.0,19.420843,10.625415,40.0,37.0,29.0,16.0,1156.8093,793.4502,0.9313868,0.9908983,438.03668700000003,286.4709284,255.40009,0.1588425008,0.03653785355999999,0.06413136
1,1972.0,23.663794,10.760874,10.0,32.0,25.0,15.0,682.52203,224.3951,0.37816933,0.9124181,187.258374,81.833757,147.88942,0.09748722010000001,0.07959169239999998,0.028988693
1,1617.0,4.407886,11.743109,50.0,21.0,25.0,14.0,619.1136,216.75412,0.79943407,0.9823209,206.273147,65.9301673,138.31526,0.1641855995,0.24042736090000005,0.07371344
1,1508.0,26.106604,10.079457,10.0,37.0,23.0,22.0,1146.287,541.41815,0.48994917,0.9357707,248.3824,169.611177,248.3824,0.1713700903,0.04551526532000001,0.05978171
1,522.0,3.6875238,11.820259,10.0,37.0,22.0,14.0,1353.8573,992.0305,0.9770973,0.99275047,487.06762,327.79273099999995,284.57147,0.19314903090000002,0.04188655347,0.07521171
1,1721.0,36.07053,10.320264,10.0,37.0,23.0,22.0,766.86566,304.5483,0.1544969,0.7260066,130.025,56.430913000000004,191.9619,0.1045427659,0.0689440231,0.04382091
1,1306.0,16.088049,11.103692,40.0,33.0,22.0,18.0,1163.3534,552.2603,0.6175274,0.91858286,250.58153,169.47354669999999,250.58153,0.17083603014,0.045088919740000004,0.059381254
1,1590.0,2.2446525,14.675948,10.0,20.0,28.0,13.0,607.34265,221.11957,0.77586395,0.9694072,239.163434,67.7569907,145.66624,0.16188524799999998,0.2641361606999999,0.08236525
